date,state,district,station,latitude,longitude,elevation_m,rainfall_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_14d_mm,temp_max_c,temp_min_c,wind_kmh
2025-01-01,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,23.2,11.7,8.3
2025-01-02,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,23.3,12.5,6.8
2025-01-03,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,23.5,11.5,5.9
2025-01-04,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,24.2,12.0,6.5
2025-01-05,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,24.1,12.1,6.7
2025-01-06,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,0.0,0.0,24.8,12.0,7.7
2025-01-07,Assam,Kamrup,Guwahati,26.1,91.77,161.0,10.5,10.5,10.5,10.5,22.9,13.7,14.1
2025-01-08,Assam,Kamrup,Guwahati,26.1,91.77,161.0,3.6,14.1,14.1,14.1,21.9,14.3,10.4
2025-01-09,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.9,15.0,15.0,15.0,21.9,13.8,9.7
2025-01-10,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,4.5,15.0,15.0,23.7,12.6,11.1
2025-01-11,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.9,15.0,15.0,24.0,11.1,10.4
2025-01-12,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,15.0,15.0,23.2,11.1,5.2
2025-01-13,Assam,Kamrup,Guwahati,26.1,91.77,161.0,1.5,1.5,16.5,16.5,23.6,11.8,11.4
2025-01-14,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.1,1.6,6.1,16.6,23.2,13.3,8.5
2025-01-15,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,1.6,2.5,16.6,23.8,11.4,10.1
2025-01-16,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.1,1.6,16.6,24.6,10.6,6.7
2025-01-17,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,1.6,16.6,24.9,12.2,6.3
2025-01-18,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,1.6,16.6,24.7,12.8,6.1
2025-01-19,Assam,Kamrup,Guwahati,26.1,91.77,161.0,0.0,0.0,1.6,16.6,24.3,12.8,7.3
